Lines,Lon,VehicleNumber,Time,Lat,Brigade
183,21.086985,1426,2024-02-20 17:42:53,52.244755,6
319,21.092411,1427,2024-02-20 17:42:52,52.152069,07
702,21.263914,1428,2024-02-20 17:42:46,52.105255,2
153,21.172588,1429,2024-02-20 17:42:54,52.285408,2
173,21.052965,1430,2024-02-20 17:42:53,52.250343,5
106,21.0250163,1500,2024-02-20 17:42:50,52.2415175,08
166,21.0598773,1501,2024-02-20 17:42:49,52.1492235,4
204,21.049111,1502,2024-02-20 17:42:54,52.3253158,07
170,21.0408388,1505,2024-02-20 17:42:51,52.2535075,05
170,21.0478238,1506,2024-02-20 17:42:51,52.2640991,06
156,21.0303621,1508,2024-02-20 17:42:43,52.2882316,4
166,21.0318266,1509,2024-02-20 17:42:51,52.2056358,2
166,21.0354535,1513,2024-02-20 17:42:53,52.2537815,09
170,21.0349748,1519,2024-02-20 17:42:50,52.2525578,3
173,21.109655,1520,2024-02-20 17:42:50,52.2405733,3
183,21.1680867,1521,2024-02-20 17:42:47,52.2528733,2
311,21.102018,1523,2024-02-20 17:42:39,52.222666,502
319,21.038838,1525,2024-02-20 17:42:47,52.141658,05
117,21.069183,1526,2024-02-20 17:42:46,52.225421,3
183,21.087236,1527,2024-02-20 17:42:42,52.244728,5
117,21.102305,1528,2024-02-20 17:42:40,52.22223,5
146,21.056945,1529,2024-02-20 17:42:42,52.2300283,2
218,21.002408,1532,2024-02-20 17:42:54,52.178973,3
218,21.0185983,1533,2024-02-20 17:42:53,52.1893583,1
739,21.0180467,1534,2024-02-20 17:42:45,52.1375383,07
106,21.022318,1535,2024-02-20 17:42:51,52.236623,1
173,21.1395067,1536,2024-02-20 17:42:48,52.236895,6
123,21.05097,1537,2024-02-20 17:42:54,52.2525367,5
181,20.8999483,1538,2024-02-20 17:42:48,52.29721,2
122,20.897543,1539,2024-02-20 17:42:55,52.239629,011
122,20.98514,1542,2024-02-20 17:42:51,52.28099,8
123,21.05407,1543,2024-02-20 17:42:52,52.2505,1
169,21.0370133,1544,2024-02-20 17:42:54,52.2928733,3
170,21.081929,1545,2024-02-20 17:42:41,52.271478,1
736,20.940135,1546,2024-02-20 17:42:43,52.3966983,2
126,21.01285,1548,2024-02-20 17:42:47,52.3201217,2
122,20.8967433,1550,2024-02-20 17:42:45,52.2366383,012
122,20.945479,1551,2024-02-20 17:42:50,52.265943,1
122,20.976763,1552,2024-02-20 17:42:44,52.28759,014
166,21.046261,1553,2024-02-20 17:42:54,52.188034,343
156,21.0705033,1554,2024-02-20 17:42:31,52.2666717,3
181,20.94994,1555,2024-02-20 17:42:54,52.289925,1
